,content
1,输血的目的有哪些？常用的血液制品有哪些，分别适用于哪些患者？
2,肽键 为什么肽键中的C-N键长度比N-Ca单键短
3,生物体如果确保遗传信息传递的准确性？ 请从复制、转录、翻译三个过程分别分析生物体确保遗传信息传递准确性的机制。
4,那么为什么肾上腺素兴奋α受体的效果不能与α对抗呢？还是说能对抗但是需要一定的时间，而升压翻转效果速度比较快？
5,盆位阑尾，女性患者，诊断阑尾炎时，是否需要问其停经史？    盆位阑尾与输卵管相毗邻，如果是女性患者，是否考虑输卵管破裂的可能，那么有可能是异位妊娠，所以要询问停经史，这样合理与否？
6,小脑萎缩   小脑萎缩是因各种原因引起的小脑容积减小，脑沟增宽，从而影响小脑的功能，以老年人多见。依据所学解剖知识，你认为小脑萎缩病人会出现哪些症状？为什么？
7,底物水平磷酸化    核苷二磷酸的磷酸化作用与底物的脱氢作用的偶联反应:底物指的是什么呢？脱氢作用指的是什么呢？
8,女性避孕   在人类的繁衍过程，女性担负着更艰巨的任务，从卵子的产生、精卵结合、胚胎着床和发育，到最后胎儿分娩，几乎都由女性单独承担。应用解剖知识，你能设想两种或两种以上的女性避孕措施吗？
9,膜片钳应用实验的链接点不进  在学习里点进膜片钳应用实验后，里面的是链接吗?打不开
10,膝关节的屈伸运动   老师你好，图上的屈伸运动为什么不是沿矢状轴啊？不应该是颅前窝最低吗
11,骨度分寸法  两锁骨中线之间的距离？是6寸？
12,后溪穴    针灸学教材上说后溪穴是八脉交汇穴，通督脉，但是看督脉离这个穴位很远，这个说法对吗？
13,第九周主题讨论第一题 1、饭前服药就是空腹服用。2、随意混用中西药。3、药品和非药品分不清。4、见有一定疗效就自主减量或者停药。5、生病时不去医院接受治疗，相信经验自行买药或者等待自愈。
14,分级护理   做大手术的病人是特级护理还是一级护理？
15,临床中遇到碘过敏小孩，0.2%碘伏是不是不能用了？换用酒精嘛？    床中遇到碘过敏小孩，0.2%碘伏是不是不能用了？换用酒精嘛？
16,秋季养生重点要注意什么？   秋季养生重点要注意什么？
17,有关肌肉收缩 如何理解前负荷，后负荷呢？
18,老师结核病的最后一题我不懂为什么选D 老师，我觉得结核病是传染病在医院会传染给其他病人，应该在对应的区域隔离治疗
19,二、《内经》对经络主要阐述了哪些内容？《内经》包括《灵枢》和《素问》两部分，《灵枢》是以论述针灸为主的医学著作，故又称《针经》，阐述了腧穴的特性，记载160多个腧穴的名称和部分腧穴的定位及主治作用。
20,如何早期识别糖尿病？
21,如何理解糖异生中的三碳途径？ 肝的糖异生是否以三碳途径为主？饱食后，机体内是否存在糖异生？
22,关于寡肽   老师你好，第九版的书中提到，"由2-20"个氨基酸相连形成的肽为寡肽，但是你讲的是十个以内为寡肽
23,胆碱酯酶   老师您好，胆碱酯酶是只针对乙酰胆碱呢，还是针对所有的胆碱能受体激动药？
24,阿胶珠的使用 老师，蛤粉炒阿胶丁囗感很差，还是听老师的捣碎冲中药液喝较好，老师你认为呢?
25,子病及母，母病及子怎样区分？ 老师，请问同时出现肝火旺和心火旺症状，怎样判断是子病及母还是母病及子？
26,第三题不会  引体向上时肩关节是怎样屈伸的？老师。
27,峻下药    京大戟、芫花、甘遂之间的泻下强度和毒性大小应如何区分呢
28,关于股三角的疑问   老师请问股三角前面是否被阔筋膜全部覆盖，若不是，请问哪一块没有被覆盖？
29,有关动作电位钾离子电化学驱动力的疑问 动作电位顶点时，钾离子跨膜外流动的电化学驱动力是90mV＋30mV＝124mV，为什么要用加法呢？我认为：钾离子外流的电化学驱动力和钠离子内流的电化学驱动力的计算方法是一样的。比如说，钠离子内流的电化学驱动力＝浓度差梯度驱动力（动力）─膜电位梯度驱动力（这里我认为是阻力）不知道我哪里理解错了，希望大家能够帮我揪出问题来，万分感谢。
30,呕血或咯血的判断   对于经口吐出的血液，可能为呕血或咯血，应如何进行分析判断？
31,糖酵解重复进行    糖酵解重复进行，是因为NADH+H+重新转变成NAD+中的NAD+的作用吗？通过NAD+参与第6步糖酵解的反应，使糖酵解得以重复进行吗？
32,老师，请问尿液的生成和排除途径是什么
33,第一小节的小结部分的话打错了 人体内20种氨基酸除了甘氨酸以外的19中氨基酸都是L-α氨基酸，这里打成“全部”了
34,阴经擦入阴道第一次怎么会流很多血呀？
35,胆息肉肝囊肿 妈妈49岁，胆息肉肝囊肿，吃了两幅中药，没见效果。这里中医说要泄，保肝护肝，老妈总是会拉肚子。请问应该用什么中药调理？？
36,病例讨论   某男性患者，16岁，近来运动后感到极度无力，门诊检查血清钾正常（4.5 mEq／L），但运动后血清钾明显降低（2.2mEq／L），经补钾治疗后症状缓解。 （1）低血钾为什么会引起极度肌肉无力？ （2）血钾增高时对肌肉收缩有何影响？请简要说明机制？
37,单元测试题目问题   为什么秋季不能早卧晚起
38,腰椎间盘突出的部位与受压脊神经根关系的临床意义。
39,交感神经兴奋的表现？ 哪个最明显？
40,老师你好，请问一下手淫通常多长时间才会射   为什么我撸了挺久的还不射呢
41,肩带周围的肌肉与肩关节周围的肌肉区别是什么？
42,b选项    椎间盘髓核不是胶状物质吗，怎么能说椎间盘是纤维软骨板？
43,艾灸贴    市场上的艾灸贴也是灸的原理吗？
44,经络组成   经络系统由十二经脉，奇经八脉、十二经别、十五络脉、十二经筋、十二皮部共同组成。 ”针灸鼻祖“皇普谧对针灸学术的贡献简述： 皇普谧吸收古典医学著作的精华，并结合自己的临床经验，写出了规范针灸学的巨著《黄帝三部针灸甲乙经》，对针灸穴位进行了科学的归类整理，奠定了针灸学科理论基础，对针灸学以至整个医学事业的发展作出了不可磨灭的贡献。
45,督脉上的问题 （1）我在书中看到督脉上有29个穴位，老师讲课时说督脉上有28个穴位，书本和老师谁对？（2）大椎穴的定位：在后正中线上，平第7颈椎棘突下凹陷中，老师讲课时说成“平第7胸椎棘突下凹陷中”，说成至阳穴了
46,不理解电位和离子的关系    我还想不通的是，书上说测出来的静息电位，是当细胞外液固定于零电位时测出来的，但是，为什么细胞静息电位是内负外正呢？不是说细胞外液是零电位吗？     …………那……电位和离子有没有关系啊……好晕
47,伤口感染者应使用什么缝合术
48,老师，请问为什么有的人冬天不怕冷，夏天不怕热呢?   老师，您好，我就是这样，冬天零下3摄氏度，短袖加校服外套，夏天30摄氏度也是这样穿，不怕冷，不怕热，是怎么回事呢
49,请问吗啡的缩瞳作用可以治疗阿托品造成的瞳孔变大吗？
50,毛发 肺部其华在发，肾水其华也在发，怎么区分？
51,标准自由能  标准自由能指的是什么呢？
52,老师前臂骨间膜，骨折时前壁应该放在中立位是吗
53,老师，请问流产和引产的区别在哪里？
54,酶促反应动力学的前提条件之一初速度  测定酶活力时应注意什么?为什么测定酶活力时以测初速度为宜?
55,耳聋 某些病变可以引起听功能障碍，产生不同程度的听力减退，统称为耳聋。按病变部位及性质耳聋可分为四类：传导性耳聋、感音神经性耳聋、混合性耳聋和中枢性耳聋。依据解剖知识，你能说说这四种耳聋的的解剖差异吗？
56,老师好，江苏东台男，冬春反复咳嗽约五年。   男性，48岁，货车司机，10年前曾在道路施工工地工作两年，有粉尘接触史，约五年前一次感冒后咳嗽，持续时间约有两月，后每年冬春咳嗽时间两月左右，无发热，痰少，吸到热气时咳嗽加重，可发生剧烈咳嗽，昼重夜轻，对症治疗可缓解，CT检查无异常，现在这个时节会自动好转。身高170.重75公斤，情绪易激动，偶有腹泻，负重或跳跃容易腰扭伤。饮食正常，喜酒，每晚三四两，烟偶尔。请老师指导该如何调理.治疗。
57,第三周的测试题第七，有疑问。 足三里是下合穴，下合手太阳小肠经的下巨虚，手阳明大肠经的上巨虚。
58,治疗 现在的针灸治疗，还有用铍针的吗？我被针灸扎过，有很细的气从脚踝处往上跑，这个就是经气传感么？
59,老师：请间虚、实的如何判断？特征是什么？“满而不能实”和“实而不能满”中“满”和“实”是什么意思？  ““满而不能实”和“实而不能满”是五脏与六腑的主要区别之一。 “满”，是指精气的充满； “实”，是指水谷的充实。由于五脏所贮藏和化生的精气，呈弥散状态，充满于五脏，故说“满而不能实”。由于六腑多为空腔器官，其功能特点是传化饮食水谷，而水谷的形质较粗，饮食入胃，则胃实而肠虚，食下，则肠实而胃虚，故说“实而不能满”。”
60,头痛连项与足太阳膀胱经有关。
61,负反馈调节的滞后和波动是指?
62,关于证是病的某个阶段的说法的疑问?  老师，我一直困惑这两个概念的相关性。比如老师所讲的感冒病，有5个不同发展阶段的证，风寒、风热、暑湿等。我想问下所谓的不同发展阶段之间是什么关系？是前后顺序关系么？就好像要从中国到美国必须经过太平洋这种顺序关系。也类似物理学里的电路串联概念。如果是前后顺序关系，那么我就很迷惑，风寒感冒一般是体表被风寒之邪所感而生病，其发展会经过变化逐渐加重入里变成其他证，比如入里化热变成阳明腑实证，但是应该不会变成暑湿证才对。暑湿证一般是人在夏天天气湿热的时候会被热邪、湿邪所伤，中于皮毛和肠胃，其与风寒感冒应该不具有相互转化过程，这两个证怎么会成为感冒的不同时期呢？同理，风寒感冒和风热感冒应该也不会相互转化才对，如果他们是串联关系，那么他们就应该可以相互转化才对。如果不同发展阶段之间不是前后串联的顺序关系，那难道是各自独立的并联关系？类似物理里电路的并联。如果是各自独立的并联关系，既然相互独立，互不影响，那就不应该称为感冒病的不同发展时期，而称为感冒病的不同子类分型似乎更合理一些，也更好理解。
63,肌注与口服  糖尿病患者在用药方面，应选择肌注胰岛素还是口服药？
64,气能生血那为什么不是气为血之母？/？ 气能生血那为什么不是气为血之母？/？
65,关于课后思考题的回答，请老师指教   有机磷中毒为瞳孔缩小，呼吸加快，流涎，肢体震颤，肌张力降低，大便失禁，心率减慢，血压下降。中枢神经系统先兴奋不安，然后出现惊厥，后可转为抑制。阿托品中毒为瞳孔扩大，口干，面色潮红，呼吸减慢，心率加快，四肢温热。中枢系统表现为先兴奋后抑制。所以两者从中枢神经系统很难鉴别，可以通过其他的临床表现来区分，比如瞳孔，腺体分泌量，心率快慢，血压高低等。
66,"第八章第一题 常用药：消毒药水，生理盐水，抗生素成份的消炎药膏，感冒用药，感冒糖浆，肠胃用药，皮肤用药，过敏药，消化药，单方用药，复方用药等 医师建议准备的其他药物 有些人患有发作性疾病,医师都会开.些预防性或是发作时需要 紧急服用的药物，比如心肌缺氧使用的硝基甘油片、气喘时使用的支气管扩张剂等。"
67,脉诊 我看过孕妇的脉，真的是如珠，像水珠滚动的往前走。左手右手强度不一样。根据这个强度真的可以分出男女么？我试过，不灵呢？
68,课本上说下颔骨分为一体两支  书上只写了下颔体和下颔支 请问老师另一支是什么 还是我理解有误
69,中医内科-气血津液病-1神经衰弱 抑郁2 血证（鼻出血、齿出血等）  1 郁病（神经衰弱 抑郁 焦虑 梅核气） 2 血证（鼻出血、齿出血、咳血、吐血、便血、尿血、紫斑）
70,糖皮质激素  糖皮质激素能够收缩血管，但是为什么在休克大剂量的时候，又能舒张痉挛的血管呢？
71,流行性感冒属于外感六淫吗？  流行性感冒（比如甲流、SARS）属于外感六淫吗？如果是，属于哪种邪？
72,关于传出神经药物分类的课堂思考题   老师您好。视频里这个题：“卡维地洛能够阻断α1受体和β受体，推测其药理作用”，我理解是，抑制α1受体和β2受体对于内脏血管平滑肌作用相反，但是皮肤、粘膜的血管平滑肌上的α1受体被抑制就会收缩，心脏的β1受体被抑制，心脏收缩减弱，冠脉的β2受体被抑制，冠脉收缩，但是药理作用怎么分析呢？血压是下降还是升高呢？皮肤会因为血管收缩而发白吗？
73,表现为月经周期或出血量的紊乱，有以下几种情况：1.不规则子宫出血。具体包括：月经过多或持续时间过长或淋漓出血。常见于子宫肌瘤、子宫内膜息肉、子宫内膜异位症等疾病情况或功能失调性子宫出血。2.青春期功能失调性子宫出血。指内外生殖器无明显器质性病变，而由内分泌调节系统失调所引起的子宫异常出血。是月经失调中最常见的一种。分为排卵性和无排卵性两类，约85%病例属无排卵性功血。3.闭经是妇科疾病中常见的症状，可以由各种不同的原因引起。通常将闭经分为原发性和继发性两种。凡年过18岁仍未行经者称为原发性闭经；在月经初潮以后，正常绝经以前的任何时间内（妊娠或哺乳期除外），月经闭止超过6个月者称为继发性闭经。4.绝经绝经意味着月经终止，指月经停止12个月以上。但围绝经期常有月经周期和月经量的改变。表现为月经周期缩短，以滤泡期缩短为主，无排卵和月经量增多。
74,手淫 手淫多了，现在每次时间特别短，该怎么办呢？
75,血浆的胶体渗透压   老师说 血浆中的百蛋白是渗透压的重要组成成分 如果白蛋白大量降低 那么及时其他蛋白升高使总蛋白量保持不变 那么胶体渗透压也将降低  但是前面不是说渗透压主要是与蛋白数量有关嘛 既然数量不变 为什么会降低勒……哭了…求指点
76,看五脏的主要病理症状，感觉自己都对的上呢？不会都有问题把？  学了这个五脏六腑怎么判断自己身体哪个器官不好真的该去医院看呢？
77,请问老师，深刺天枢穴，怎么样避免刺伤肠道呢？应该注意什么？
78,心绞痛和心肌梗死的区别    心绞痛和心肌梗死临床上有哪些不同？护士观察的重点有何不同？
79,糖尿病用药控制后如何调整用药？    经过饮食控制和用药，血糖已经下降至4.5，此时如何处理？改如何调整用药？
80,有的金属和气体也是毒物，不算药物吗
81,"股疝为何多发于老年女性，为何需要尽早手术？   股疝多发于老年、女性, 为什么？一旦确诊股疝，为何需要尽早手术？"
82,请问老师如何取得针灸医生的资质？
83,肋与胸椎的连接    第十一和第十二肋没有肋结节，那么第十一和第十二胸椎的横突肋凹连接什么？
84,干眼症    老师：干眼症在家里自己针灸不了时，按揉还不是也行？左眼干针灸时选择右边的睛明穴，风池穴么？
85,关于八会穴，都是哪些穴位？  八会穴应该有8个穴位，我只记录下6个，脉会：太渊；  骨会：大杼 ； 血会：膈腧； 髓会：悬钟；  筋会：阳陵泉;   脏会：章门；     我请教老师：（1）以上6个八会穴对吗？  （2）还有腑会和气会是哪两个穴位呢？
86,前臂骨间膜是什么连接？
87,老师我想请教一下   如果电梯坏了，要爬到10楼上课，机体如何调动心力贮备以满足代谢需求
88,但是暑邪我就很迷惑。就我的理解，暑邪基本上就是湿热两邪合并，当然暑邪还分阳暑、阴暑，感觉也就是偏湿热和湿寒。
89,关于肾上腺素生压翻转一些小问题    升压翻转如果说是在使用α受体阻断剂之后，在使用肾上腺素，使肾上腺素只存在β受体兴奋使血管只扩张不收缩而产生升压翻转作用。要知道在M受体被阻断剂中毒时，是可以使用M受体兴奋剂对抗M受体阻断剂的。
90,痛风病人在运动方面有什么要求？
91,胸膜腔穿刺术 胸膜腔穿刺术，简称胸穿，是指经皮肤、肋间组织、壁层胸膜穿刺进入胸膜腔的技术，对有胸膜腔积液、积气（气胸）的患者可以通过胸膜腔穿刺抽取积液、气体，或注入药物，进行诊断和治疗。从解剖学角度来看，胸膜腔穿刺应注意哪些问题？譬如，穿刺位置的选择。
92,左右脉搏不一致    请教老师，常理来说，左右脉搏应该是相同的，但是我测得一人的左手脉搏是77次/分钟，而右手脉搏是74~75次/分钟，请问这对于我们有什么提示？
93,请问大家，消化道平滑肌为什么对电刺激不敏感呀
94,静息电位中电位差和浓度差是什么关系？ 为什么说膜内有机负离子不能随之跨膜扩散
95,咯血 咯血的话主要是因为肺部或者心脏方面的问题，那是不是咯血的时候血是从呼吸道里咳出来的呢？那这个血液是怎么从心、肺来到呼吸道的呢？
96,老师，十二天干地支在中医理论里代表了什么？  甲乙丙丁代表的是什么？它在中医著作里频频出现，真心有点看不懂(=_=)！
97,传出神经药理 那几个受体作用太多了，学完之后一脸懵逼。大家有什么记忆的好方法吗？
98,颈椎横截面与腰椎横截面    我想问一下，书上写的颈椎横截面为椭圆形，腰椎为肾形，我们上课回答是老师说颈椎横截面不能说成肾形，为什么老师你这里说颈椎是成肾形呢？
99,心律失常   心律失常的发生机制
100,脂肪酸氧化代谢能量计算    老师，请问在计算代谢能量的时候，如何知道会经过多少次β氧化呢？如软脂酸是7次，硬脂酸是8次。
101,药茶怎样喝健康    对于大多数人来说，喝茶是很不错的调养方式，可是一年四季喝的茶都不相同，而且一种茶喝的时间也不能太长，该如何调整呢
102,冷、热疗法均有减轻疼痛的作用，其各自的作用机理是什么？
103,肘横纹至腕横纹的骨度分寸是( )A.9 寸 B.13 寸 C.14 寸 D.15 寸正确答案是12寸
104,头针顶旁1线承光穴向后引一条长1:5寸的线到通天穴吗:
105,哮喘患者是否需要随身备药？  视频中没有提及哮喘发作时的用药，可否交代一下如何备药？
106,甲状腺激素  老师甲状腺激素概述里老师只介绍了机制，结尾的时候说下节课结束药理作用，但是怎么没有相关视频呀？是忘记上传了嘛？
107,五脏调养与气血    气血不足平时要注意什么，怎样对症对人调养？平时稍做运动就会大汗淋漓，学习了这个课程才知道是肺气不足的原因，而且中焦不通，脾胃不好，脾虚面黄，被湿气包围，舌苔白厚。希望老师能抽空回复一下。
108,老师，若只是腰膝酸软呢？这样的症状与肝有关系吗？   老师，若只是腰膝酸软呢？这样的症状与肝有关系吗？
109,老师，想请问下，眼圈黑是肾的原因吗？ 老师，想请问下，眼圈黑是肾的原因吗？排除熬夜导致的
110,"老师，我自己试着针灸，好多问题，希望解救一下我    想学针灸，喜欢针灸，但是现在还没有师傅领着。所以好多问题，希望趁机问一下老师。我现在是在自己身上下针，想体会针感。患者该有的针感，和医者该有的针感我静心静气还是体会不到，或者是说不确定是不是体会到了。下面是具体的问题:1,老师，你们给患者用针的时候，很注重并且能很清晰体会到针感吗？2,《针灸甲乙经》上说，每个穴位要留针多少息。我看还有说，留针多少息没有具体要求，关键是气至，我有点晕乎。3,我找穴位的两个准则是，有凹陷，下针轻微痛或是不痛，这样找穴位，应该没问题吧？4,进针手法都是，左右捻转缓慢进针，这样行吗，我不太敢一下扎进去5,扎足三里时，针下到两三分时，总是进针困难，也感觉不到疼痛。每次都是反复捻转，向里用力，两三分钟，才能突破，然后就很顺畅下到1寸。老师，这是为什么？足三里淤堵吗？6，出针的时候，书上说，如果是释放邪气，需要摇大针孔，缓慢出针。补的话，气至，极速出针，按压针口。老师，你们也是这样操作吗7,艾灸，针灸时，唾液总是分泌旺盛。但有的时候，很黏稠，忍不住想咽，有时候，像是口水一样稀薄忍不住吐出来。好奇怪的感觉，不知道怎么回事"
111,为什么这道题，c是错的？   对于女性患者，如果怀疑盆位阑尾炎，应该询问停经史啊？
112,为什么三焦又把五脏六腑包含在内呢
113,儿茶酚胺能导致震颤的原因是什么
114,肠梗阻    老师：我肠梗阻的时候，医生把上下巨虚和条口穴都扎了，没有扎天枢和关元，这样选穴也是可以的吧？
115,孙教授，六腑的胆和奇恒之腑中的胆是同一个脏器吗？
116,那个是三种形态特征吧？    结肠带，结肠袋，肠脂垂
117,循经传导一般是定向的，用扩散来形容合适嘛？
118,同时表现出部分虚实的症状是怎么回事？ 老师，我以虚实症状对照自身表现，蓝色框内是自身判断的。请问这种虚实症状都有所表现是怎么回事呢？谢谢您的解答！
119,什么原因造成的？怎么治疗？
120,按照五行理论，苦入心可养肺好像不符合呀？   老师，在饮食损伤里讲到：“酸入肝可养心，苦入心可养肺，甘入脾可养肝，辛入肺可养肾，咸入肾可养脾”。按照五行理论，酸入肝可养心、辛入肺可养肾没问题。苦入心可养肺，甘入脾可养肝，咸入肾可养脾，好像不对吧？心为脾之母，苦入心怎么去养肺了？
121,交叉上下选穴 老师：我看视频里您选的居髎穴与肩髎穴在同一侧啊？图里是交叉的，为啥啊？
122,补发第一单元作业   一、怎样学好针灸？对于一个中医小白来说，这次的针灸课程对于我而言无疑是一个巨大的恩赐，首先买一本《针灸学》，然后跟着老师一步一步深入了解和学习这本课程，视频中教授说的学习方法：1.抓住重点。2.融会贯通（中医融会贯通）。3.多加时间（扎自己）
123,正中矢状面把人体分为结构对称的左、右两部分  答案为错误，为什么呢
124,单元测试中题目疑问  老师好，在本章的单元测试中有一道题目是血浆脂蛋白不包括A游离脂肪酸B甘油三酯C胆固醇D胆固醇酯。这道题是否有问题？不是都包括的吗？
125,案例分析：有机磷农药中毒   43岁男性农民。晚12时20分由亲友抬入急诊科就诊。患者于当日下午1-6时均在果园喷洒对硫磷。晚8时左右，感觉困倦，进食较平时少；在随后看电视时感觉图像不清楚（家人感觉清楚）；大约10时，感觉头痛、眼痛和腹痛，随之呕吐，全身出汗，说话吐词不清，呼出气有浓烈的大蒜味，而被家属急送就诊。体查见瞳孔呈针尖样改变，两嘴角不时有唾液流出，呼吸频率32次/分，心率128次/分，血压156/92mmHg，实验室检查血胆碱酯酶活力42%。诊断：急性有机磷杀虫药中毒。问题：（1）有机磷中毒直接损伤体内那个重要分子而引起上述表现？（2）患者为何会出现视物模糊不清等症状？（3）患者为何会有腹痛、呕吐，流涎和出汗？（4）患者为何出现心率增加和血压升高？（5）阿托品可以消除哪些症状？
126,我想请问一下肌肉的运动方向是什么呀
127,便溏 便溏一天一次属于便秘的范畴么
128,治疗失眠、多梦、神经衰弱宜选用(     )A.角窝上B.角窝中C.内分泌D.肾上腺.所给 的4个选项都不是正确答案。
129,肩屈范围   对于运动员或追求良好运动表现的普通人来说，肩屈170°是不是不太够，是需要加大灵活性的。
130,如何寻找胆囊管和胆囊动脉？胆囊手术出血时，如何止血？
131,为什么人们不能坚持盆底肌肉训练    盆底肌肉训练是安全有效的预防尿失禁或减轻尿失禁的重要行为措施，请大家讨论：为什么人们不能够坚持这种行为？
132,房颤 老师您好，我想请问房颤是心室率达到150次/分，出现脉搏短绌，心率和脉率不一致，那么这里的心率等于心室率么？
133,为什么老年人容易发生骨折   是因为老年时，构成骨的有机质：无机质=1:4.钙，磷沉积，使骨变得脆弱吗?这个可以根据“脱钙骨”和“炭烧骨”的定义来理解吗?
134,关于五行相生规律的运用    既然五行五脏均可补，为什么不直接谁虚就补谁，而要虚则补其母，实则泻其子呢
135,解离性药物都是酸性，非解离都是碱性吗？    也就是说大部分药物都是碱性的？酸性的药物很少吗？
136,尿酸457  抽血检查尿酸457，应该怎么办？
137,利尿药    老师，这题答案是不是错了啊
138,蝶骨 老师，那个蝶骨的鞍背，鞍结节及蝶鞍在哪？
139,养生防治开始加入学起 希望自我通过老师图文并茂讲解，知道已是改变的开始，持之以恒养生起来，做到好好爱自己！
140,关于维生素D 维生素D（vitamin D ）为固醇类衍生物，具抗佝偻病作用，又称抗佝偻病维生素。1目前认为维生素D也是一种类固醇激素，维生素D家族成员中最重要的成员是VD2（麦角钙化醇）和VD3（胆钙化醇)。维生素D均为不同的维生素D原经紫外照射后的衍生物。植物不含维生素D，但维生素D原在动、植物体内都存在。维生素D是一种脂溶性维生素，有五种化合物，对健康关系较密切的是维生素D2和维生素D3。它们有以下三点特性：它存在于部分天然食物中；人体皮下储存有从胆固醇生成的7-脱氢胆固醇，受紫外线的照射后，可转变为维生素D3。适当的日光浴足以满足人体对维生素D的需要。
141,减压反应   老师，为什么去甲肾上腺素因血压升高而有减压反应，而肾上腺素，多巴胺，麻黄碱没有呢？
142,关于维生素A 维生素A（vitaminA）又称视黄醇（其醛衍生物视黄醛）或抗干眼病因子，是一个具有脂环的不饱和一元醇，包括动物性食物来源的维生素A1、A2 两种，是一类具有视黄醇生物活性的物质。维生素A1多存于哺乳动物及咸水鱼的肝脏中，而维生素A2常存于淡水鱼的肝脏中。由于维生素A2的活性比较低，所以通常所说的维生素A是指维生素A1
143,请大家用大脑风暴法，讨论降低医院感染的具体措施有哪些？
144,老师你好，长痘是因为内脏不协调而引起的吗   老师，我的下巴，脸颊和嘴周围不断长痘，还有闭口粉刺，这是因为五脏六腑出了问题吗？
145,月经两天，因为过度运动，以前四五天的，我两天正常不
146,胸腰筋膜的范围是指哪些部位？和哪些肌、神经有密切关系？
147,脑卒中    很多老年病人在发生脑卒中时都得不到及时有效的救治而死亡
148,乳腺癌    女性乳腺是由皮肤、纤维组织、乳腺腺体和脂肪组成的，乳腺癌是发生在乳腺腺上皮组织的恶性肿瘤。乳腺癌中99%发生在女性，男性仅占1%。
149,点穴真的可以定住人体吗？
150,动作电位   绝对不应期的时间长短对机体（如人体）有什么意义吗？
151,胸廓的形态  胸廓的形态受年龄、性别和身体状况的影响而变化。你知道什么是“鸡胸”、“桶状胸”吗？原因如何？
152,在进行胸膜腔穿刺过程中要注意什么问题? 为什么?
153,为什么要单独列出暑邪？    老师，我一直很奇怪，六邪中我理解，一般都是独立概念，甚至包含相互对立的概念。
154,病案分析   患者，女，34岁，因发热伴咽痛，寒战3天来院就诊，体温38.4°C，急性病容，双侧扁桃体二度肿大，表面可见有脓苔覆盖，其他查体及胸片未见明显异常，诊断为急性扁桃体炎。 请分析: 应首选何药治疗？为什么？
155,关于内外侧求解    老师您好，我还是不太明白那个内侧和外侧是怎么回事，为什么说眼是鼻的外侧，不是近的是内侧吗？那眼不是鼻的内侧吗？
156,阴跷脉，阳跷脉……  老师：阴跷脉，阳跷脉……和十二经很近，扎针灸的时候会不会有串联感？
157,tct与hpv    老师，请问如果一个女性被诊断重度宫颈糜烂，那我们是要对这个患者进行TCT与HPV的检测，那这个顺序是怎样的，是先看HPV检测结果，如果HPV阴性，就不用检查TCT了吗？还是先检查TCT，还是两个都必须全部检查？
158,淋巴结    正常情况下我们是否可以触到腋窝淋巴结和腹股沟淋巴结？
159,冠心病        冠心病是由于冠状动脉供血不足而导致的心肌缺血性损伤，最常见的原因是冠状动脉发生了粥样硬化而致管腔狭窄，其全称为冠状动脉粥样硬化性心脏病，简称为冠心病。根据所学解剖知识，你能想象有哪些方法可以使心脏动脉血流恢复灌注吗？
160,结合上肢浅静脉的特点，讨论PICC应如何选择上肢浅静脉？
161,高血压    根据前后负荷对搏出量的影响分析患者为何血压达到180/100mmHg左右时，出现头晕、心慌、乏力，为150/90mmHg时，无上述症状？
162,腕管综合征有哪些主要临床表现，为什么？
